@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %11s "Ring ThomX "
@ ORIGIN           %16s "5.02.02 Linux 64"
@ DATE             %08s "22/09/15"
@ TIME             %08s "18.13.26"
* NAME                                S                  X                  Z              THETA 
$ %s                                %le                %le                %le                %le 
 "QP3"                      12.87855918        3.405133449       -2.225727896       -5.497786327
 "SD3"                      13.11355918        3.571303678       -2.059557938       -5.497786327
 "COE"                      13.11355918        3.571303678       -2.059557938       -5.497786327
 "DIP"                      13.39001918        3.674402259        -1.81065658       -6.283184327
 "COS"                      13.39001918        3.674402259        -1.81065658       -6.283184327
 "SD0"                      13.49001918        3.674402357        -1.71065658       -6.283184327
 "SD0"                      13.59001918        3.674402455        -1.61065658       -6.283184327
 "COE"                      13.59001918        3.674402455        -1.61065658       -6.283184327
 "DIP"                      13.86647918        3.571304362       -1.361755019       -7.068582327
 "COS"                      13.86647918        3.571304362       -1.361755019       -7.068582327
 "SD3"                      14.10147918        3.405134458       -1.195584735       -7.068582327
 "QP3"                      14.25147919        3.299068556       -1.089518589       -7.068582327
 "SD2"                      14.46147919        3.150576301      -0.9410259956       -7.068582327
 "QP4"                       14.6114792        3.044510398      -0.8349598501       -7.068582327
 "SD1S"                      14.6864792         2.99147745      -0.7819267808       -7.068582327
 "SX2"                       14.6864802        2.991476743      -0.7819260737       -7.068582327
 "SD1S1"                     14.9314802         2.81823578      -0.6086847142       -7.068582327
 "QP41"                     15.08148021        2.712169877      -0.5026185687       -7.068582327
 "SD3S1"                    15.22148021        2.613175041      -0.4036235061       -7.068582327
 "SX3"                      15.22148121        2.613174334       -0.403622799       -7.068582327
 "SD3S"                     15.29648121        2.560141386      -0.3505897297       -7.068582327
 "QP31"                     15.44648122        2.454075483      -0.2445235842       -7.068582327
 "SD3S"                     15.52148122        2.401042535       -0.191490515       -7.068582327
 "SX1"                      15.52148222        2.401041828      -0.1914898079       -7.068582327
 "SD3S2"                    15.64648222        2.312653581      -0.1031013591       -7.068582327
 "COE"                      15.64648222        2.312653581      -0.1031013591       -7.068582327
 "DIP"                      15.92294222        2.063752256   -2.697270076e-06       -7.853980327
 "COS"                      15.92294222        2.063752256   -2.697270076e-06       -7.853980327
 "SD31"                     16.67669222        1.310002256    -1.71213806e-06       -7.853980327
 "QP2"                      16.82669223        1.160002246   -1.516091874e-06       -7.853980327
 "SD2"                      17.03669223       0.9500022461   -1.241627233e-06       -7.853980327
 "QP1"                      17.18669224       0.8000022361   -1.045581047e-06       -7.853980327
 "SD5"                      17.98669224    2.236130655e-06   -1.460634478e-12       -7.853980327
 "RING$END"                 17.98669224    2.236130655e-06   -1.460634478e-12       -7.853980327
